player_efficiency_rating,true_shooting_percentage,three_point_attempt_rate,free_throw_attempt_rate,offensive_rebound_percentage,defensive_rebound_percentage,total_rebound_percentage,assist_percentage,steal_percentage,block_percentage,turnover_percentage,usage_percentage,offensive_win_shares,defensive_win_shares,win_shares,win_shares_per_48_minutes,offensive_box_plus_minus,defensive_box_plus_minus,box_plus_minus,value_over_replacement_player
7.9,0.411,0.517,0.207,7.6,16.6,12,4.2,1,3.8,11.2,16,-0.1,0.1,0,-0.015,-4.5,-1.5,-6.1,-0.1
11.3,0.643,0.524,0.162,1.7,8.5,5.2,17.4,1.4,0.2,17.1,11.6,1.5,0.3,1.8,0.095,-1.4,-0.5,-1.9,0
13.2,0.561,0.52,0.243,2.6,14.1,8.4,9.4,2.1,0.5,9.9,16.9,2.6,2.7,5.3,0.103,-0.4,0.6,0.3,1.4
-7.3,0,0,0,0,27.9,14.1,0,0,0,0,11,0,0,0,-0.224,-12.4,-4.5,-16.9,0
13.7,0.543,0.485,0.375,1.5,9.9,5.6,26.9,1.8,0.2,15.5,19,0.5,0.1,0.7,0.075,-0.4,-0.7,-1.1,0.1
24.5,0.65,0.001,0.38,13.5,30.8,22.2,5.7,1.4,5.7,11.5,19.4,6.2,4.1,10.2,0.242,2.4,1,3.4,2.8
14.3,0.55,0.498,0.313,5.1,18.4,11.7,10.5,1.3,1,10.3,19.8,2.3,1.8,4.1,0.091,0.5,-0.4,0.2,1.2
10.8,0.523,0.583,0.131,1.9,15.1,8.2,9.7,2.1,2.4,10.7,14.7,0.3,0.9,1.2,0.056,-1.9,0.7,-1.2,0.2
10.8,0.446,0.258,0.389,4.7,13.3,8.9,19.4,2.6,2.3,16.2,16.6,-0.2,1.1,0.9,0.05,-3.3,1.8,-1.5,0.1
8.7,0.519,0.371,0.259,2.9,9.4,6.2,17.8,2,1.4,24.5,12.9,-0.1,0.6,0.5,0.041,-3.8,0.9,-2.9,-0.1
15.5,0.632,0.106,0.333,4.9,24,15.1,9.5,1.2,2,13.5,16.3,1.2,1,2.2,0.141,-0.9,0,-0.9,0.2
17.6,0.529,0.016,0.32,7,22,14.2,13.7,1.9,3.1,11,21.8,1.7,2.2,3.9,0.092,-0.4,0.3,-0.1,1
13,0.567,0.586,0.138,9.7,17.7,13.7,7.8,0.8,0.7,8,14.8,0.9,0.3,1.2,0.109,-0.4,-1.5,-1.9,0
10.4,0.503,0.431,0.312,1,12,6.4,21.5,2.8,0.9,18.8,19.6,-0.6,1.3,0.6,0.021,-3.7,0.5,-3.2,-0.4
14.2,0.658,0,0.497,12.2,26.8,19.4,6.6,0.7,1.9,20.6,10.6,1.9,0.8,2.7,0.111,-0.8,-0.6,-1.4,0.2
10.9,0.542,0.39,0.181,4.9,14.1,9.6,9.4,0.9,1.4,11.9,14.3,2.1,1.2,3.3,0.067,-1,-1.1,-2.1,-0.1
11.1,0.509,0.398,0.331,5.2,22.7,13.8,8.1,1.6,3.7,16.4,18.1,-0.8,1.5,0.7,0.023,-3.2,0.4,-2.8,-0.3
9.4,0.529,0.394,0.119,0.8,8.4,4.7,10.4,1.1,0.5,9.9,17.2,0.3,0.8,1.1,0.037,-2.7,-0.8,-3.5,-0.6
16.9,0.532,0.315,0.198,3.8,9.7,6.7,22.9,1.5,0.2,11.6,27.7,1.1,1,2.1,0.08,1.9,-1.1,0.8,0.9
15.4,0.565,0.376,0.202,2.3,7.9,5.1,12,1.5,0.4,9.3,24.1,0.8,0.2,1,0.073,0.5,-1.8,-1.3,0.1
7.4,0.53,0.833,0.111,1.7,10.8,6.1,6.7,1.6,0,9.6,14.8,0,0,0.1,0.042,-2.7,0.5,-2.2,0
5.1,0.317,0.071,0.286,2.6,11.4,6.9,3.3,3.7,4.4,11.3,10,-0.1,0.1,0,-0.005,-7.3,4,-3.3,0
3.5,0.825,0.429,0.286,2.7,8,5.3,0,1.2,2,38.8,13.4,0,0,0,-0.009,-8.3,-0.7,-9,-0.1
18.3,0.62,0.086,0.341,11,22.8,16.9,8.9,1.3,3.8,14.3,17.9,3.4,2,5.4,0.145,-0.4,0.2,-0.2,0.8
7.5,0.475,0.391,0.145,4.7,18.2,11.5,7.1,0.8,2.4,15.9,15.4,-0.7,1.3,0.6,0.03,-4.5,0.2,-4.3,-0.6
10,0.433,0.172,0.404,7.2,18,12.4,16.4,1.8,1.7,17.1,13.3,-0.1,0.5,0.5,0.046,-3.6,0.9,-2.6,-0.1
18.8,0.61,0.321,0.226,2.1,7.8,5,26.4,2.3,0.7,10.9,17.4,5.8,1.8,7.6,0.181,2.4,0.3,2.7,2.4
